# Age (lower edge), Age (upper edge), Probability
15, 25, 0.0011638615266465614
25, 35, 0.013073470898952111
35, 45, 0.016815150042606718
45, 55, 0.019818565473636196
55, 65, 0.019117651420145244
65, 75, 0.015578524717054778
75, 85, 0.014432775920958396
