# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
15, 25, 2.0794415416798357, 2.4870257778003046, 0.015863373984925582
15, 25, 2.4870257778003046, 2.894610013920774, 0.0
15, 25, 2.894610013920774, 3.302194250041243, 0.0
15, 25, 3.302194250041243, 3.709778486161712, 0.0
15, 25, 3.709778486161712, 4.117362722282181, 0.0
15, 25, 4.117362722282181, 4.52494695840265, 0.0
15, 25, 4.52494695840265, 4.932531194523119, 0.0
15, 25, 4.932531194523119, 5.340115430643588, 0.0
15, 25, 5.340115430643588, 5.747699666764057, 0.0
15, 25, 5.747699666764057, 6.155283902884527, 0.0
15, 25, 6.155283902884527, 6.562868139004996, 0.0
15, 25, 6.562868139004996, 6.970452375125465, 0.0
15, 25, 6.970452375125465, 7.378036611245934, 0.0
15, 25, 7.378036611245934, 7.785620847366403, 0.0
15, 25, 7.785620847366403, 8.193205083486871, 0.008827541319663778
15, 25, 8.193205083486871, 8.60078931960734, 0.014923278563273435
15, 25, 8.60078931960734, 9.00837355572781, 0.049071557687486125
15, 25, 9.00837355572781, 9.415957791848278, 0.041477015471084705
15, 25, 9.415957791848278, 9.823542027968749, 0.13965777723509218
15, 25, 9.823542027968749, 10.231126264089218, 0.27572417039930275
15, 25, 10.231126264089218, 10.638710500209687, 0.2724304154188049
15, 25, 10.638710500209687, 11.046294736330156, 0.1460840154692573
15, 25, 11.046294736330156, 11.453878972450624, 0.03594085445110916
15, 25, 11.453878972450624, 11.861463208571093, 0.0
15, 25, 11.861463208571093, 12.269047444691562, 0.0
25, 35, 2.0794415416798357, 2.4870257778003046, 0.0
25, 35, 2.4870257778003046, 2.894610013920774, 0.0
25, 35, 2.894610013920774, 3.302194250041243, 0.0
25, 35, 3.302194250041243, 3.709778486161712, 0.0
25, 35, 3.709778486161712, 4.117362722282181, 0.0
25, 35, 4.117362722282181, 4.52494695840265, 0.0
25, 35, 4.52494695840265, 4.932531194523119, 0.0
25, 35, 4.932531194523119, 5.340115430643588, 0.0
25, 35, 5.340115430643588, 5.747699666764057, 0.0013104754061497859
25, 35, 5.747699666764057, 6.155283902884527, 0.0
25, 35, 6.155283902884527, 6.562868139004996, 0.0
25, 35, 6.562868139004996, 6.970452375125465, 0.0
25, 35, 6.970452375125465, 7.378036611245934, 0.0
25, 35, 7.378036611245934, 7.785620847366403, 0.0015356083721227258
25, 35, 7.785620847366403, 8.193205083486871, 0.0038487157334882146
25, 35, 8.193205083486871, 8.60078931960734, 0.0011380219326382142
25, 35, 8.60078931960734, 9.00837355572781, 0.006072162257057121
25, 35, 9.00837355572781, 9.415957791848278, 0.025212864863146493
25, 35, 9.415957791848278, 9.823542027968749, 0.05678345902048478
25, 35, 9.823542027968749, 10.231126264089218, 0.13928311530626047
25, 35, 10.231126264089218, 10.638710500209687, 0.22558148887134694
25, 35, 10.638710500209687, 11.046294736330156, 0.25049871024726655
25, 35, 11.046294736330156, 11.453878972450624, 0.21805482468590415
25, 35, 11.453878972450624, 11.861463208571093, 0.05226028446222989
25, 35, 11.861463208571093, 12.269047444691562, 0.018420268841904553
35, 45, 2.0794415416798357, 2.4870257778003046, 0.0
35, 45, 2.4870257778003046, 2.894610013920774, 0.0
35, 45, 2.894610013920774, 3.302194250041243, 0.0
35, 45, 3.302194250041243, 3.709778486161712, 0.0
35, 45, 3.709778486161712, 4.117362722282181, 0.0
35, 45, 4.117362722282181, 4.52494695840265, 0.0
35, 45, 4.52494695840265, 4.932531194523119, 0.0
35, 45, 4.932531194523119, 5.340115430643588, 0.0
35, 45, 5.340115430643588, 5.747699666764057, 0.0
35, 45, 5.747699666764057, 6.155283902884527, 0.0
35, 45, 6.155283902884527, 6.562868139004996, 0.0
35, 45, 6.562868139004996, 6.970452375125465, 0.0
35, 45, 6.970452375125465, 7.378036611245934, 0.0006476102502606187
35, 45, 7.378036611245934, 7.785620847366403, 0.0
35, 45, 7.785620847366403, 8.193205083486871, 0.0018649449530425098
35, 45, 8.193205083486871, 8.60078931960734, 0.0022877492094809577
35, 45, 8.60078931960734, 9.00837355572781, 0.006422262718753213
35, 45, 9.00837355572781, 9.415957791848278, 0.016869235645892284
35, 45, 9.415957791848278, 9.823542027968749, 0.04772259836495616
35, 45, 9.823542027968749, 10.231126264089218, 0.10969842493986112
35, 45, 10.231126264089218, 10.638710500209687, 0.20491337606543042
35, 45, 10.638710500209687, 11.046294736330156, 0.2672532112452024
35, 45, 11.046294736330156, 11.453878972450624, 0.2013206179014422
35, 45, 11.453878972450624, 11.861463208571093, 0.11113403536596161
35, 45, 11.861463208571093, 12.269047444691562, 0.02986593333971644
45, 55, 2.0794415416798357, 2.4870257778003046, 0.0
45, 55, 2.4870257778003046, 2.894610013920774, 0.0
45, 55, 2.894610013920774, 3.302194250041243, 0.0
45, 55, 3.302194250041243, 3.709778486161712, 0.0
45, 55, 3.709778486161712, 4.117362722282181, 0.0
45, 55, 4.117362722282181, 4.52494695840265, 0.0
45, 55, 4.52494695840265, 4.932531194523119, 0.0
45, 55, 4.932531194523119, 5.340115430643588, 0.0
45, 55, 5.340115430643588, 5.747699666764057, 0.0
45, 55, 5.747699666764057, 6.155283902884527, 0.0
45, 55, 6.155283902884527, 6.562868139004996, 0.0
45, 55, 6.562868139004996, 6.970452375125465, 0.0
45, 55, 6.970452375125465, 7.378036611245934, 5.146102285165705e-05
45, 55, 7.378036611245934, 7.785620847366403, 0.00043835912654067733
45, 55, 7.785620847366403, 8.193205083486871, 0.002565310153745026
45, 55, 8.193205083486871, 8.60078931960734, 0.005705403411477667
45, 55, 8.60078931960734, 9.00837355572781, 0.008590893966558261
45, 55, 9.00837355572781, 9.415957791848278, 0.029484419510939372
45, 55, 9.415957791848278, 9.823542027968749, 0.0688062498320811
45, 55, 9.823542027968749, 10.231126264089218, 0.14809121216058052
45, 55, 10.231126264089218, 10.638710500209687, 0.17646195951013835
45, 55, 10.638710500209687, 11.046294736330156, 0.23196563504756598
45, 55, 11.046294736330156, 11.453878972450624, 0.19390001263738632
45, 55, 11.453878972450624, 11.861463208571093, 0.0966423548480245
45, 55, 11.861463208571093, 12.269047444691562, 0.03729672877211046
55, 65, 2.0794415416798357, 2.4870257778003046, 0.0
55, 65, 2.4870257778003046, 2.894610013920774, 0.0
55, 65, 2.894610013920774, 3.302194250041243, 0.0
55, 65, 3.302194250041243, 3.709778486161712, 0.0
55, 65, 3.709778486161712, 4.117362722282181, 0.0
55, 65, 4.117362722282181, 4.52494695840265, 0.0
55, 65, 4.52494695840265, 4.932531194523119, 0.0
55, 65, 4.932531194523119, 5.340115430643588, 0.0
55, 65, 5.340115430643588, 5.747699666764057, 0.0
55, 65, 5.747699666764057, 6.155283902884527, 0.0
55, 65, 6.155283902884527, 6.562868139004996, 0.0
55, 65, 6.562868139004996, 6.970452375125465, 0.0
55, 65, 6.970452375125465, 7.378036611245934, 0.0005235981478039843
55, 65, 7.378036611245934, 7.785620847366403, 0.0019747194468961653
55, 65, 7.785620847366403, 8.193205083486871, 0.0036639766720479067
55, 65, 8.193205083486871, 8.60078931960734, 0.013404473920590998
55, 65, 8.60078931960734, 9.00837355572781, 0.025536169903944445
55, 65, 9.00837355572781, 9.415957791848278, 0.05577602774199473
55, 65, 9.415957791848278, 9.823542027968749, 0.10449263375816237
55, 65, 9.823542027968749, 10.231126264089218, 0.15479128450158278
55, 65, 10.231126264089218, 10.638710500209687, 0.19861169365285314
55, 65, 10.638710500209687, 11.046294736330156, 0.18842160508914665
55, 65, 11.046294736330156, 11.453878972450624, 0.13312587529059758
55, 65, 11.453878972450624, 11.861463208571093, 0.08881049036790237
55, 65, 11.861463208571093, 12.269047444691562, 0.030867451506476955
65, 75, 2.0794415416798357, 2.4870257778003046, 0.0
65, 75, 2.4870257778003046, 2.894610013920774, 0.0
65, 75, 2.894610013920774, 3.302194250041243, 0.0
65, 75, 3.302194250041243, 3.709778486161712, 0.0
65, 75, 3.709778486161712, 4.117362722282181, 0.0
65, 75, 4.117362722282181, 4.52494695840265, 0.0
65, 75, 4.52494695840265, 4.932531194523119, 0.0
65, 75, 4.932531194523119, 5.340115430643588, 0.0
65, 75, 5.340115430643588, 5.747699666764057, 0.0
65, 75, 5.747699666764057, 6.155283902884527, 0.0
65, 75, 6.155283902884527, 6.562868139004996, 0.0
65, 75, 6.562868139004996, 6.970452375125465, 0.0
65, 75, 6.970452375125465, 7.378036611245934, 6.241641867122211e-05
65, 75, 7.378036611245934, 7.785620847366403, 0.0004900759239342851
65, 75, 7.785620847366403, 8.193205083486871, 0.0005301773575809175
65, 75, 8.193205083486871, 8.60078931960734, 0.00393940985252995
65, 75, 8.60078931960734, 9.00837355572781, 0.018442639912247837
65, 75, 9.00837355572781, 9.415957791848278, 0.08436831350616546
65, 75, 9.415957791848278, 9.823542027968749, 0.17379026980876847
65, 75, 9.823542027968749, 10.231126264089218, 0.22061642939327816
65, 75, 10.231126264089218, 10.638710500209687, 0.2113750566199003
65, 75, 10.638710500209687, 11.046294736330156, 0.1680852136894681
65, 75, 11.046294736330156, 11.453878972450624, 0.08333722194466368
65, 75, 11.453878972450624, 11.861463208571093, 0.023503732516127473
65, 75, 11.861463208571093, 12.269047444691562, 0.011459043056664075
75, 85, 2.0794415416798357, 2.4870257778003046, 0.0
75, 85, 2.4870257778003046, 2.894610013920774, 0.0
75, 85, 2.894610013920774, 3.302194250041243, 0.0
75, 85, 3.302194250041243, 3.709778486161712, 0.0
75, 85, 3.709778486161712, 4.117362722282181, 0.0
75, 85, 4.117362722282181, 4.52494695840265, 0.0
75, 85, 4.52494695840265, 4.932531194523119, 0.0
75, 85, 4.932531194523119, 5.340115430643588, 0.0
75, 85, 5.340115430643588, 5.747699666764057, 0.0
75, 85, 5.747699666764057, 6.155283902884527, 0.0
75, 85, 6.155283902884527, 6.562868139004996, 0.0
75, 85, 6.562868139004996, 6.970452375125465, 0.0
75, 85, 6.970452375125465, 7.378036611245934, 0.0
75, 85, 7.378036611245934, 7.785620847366403, 0.0009475116627651307
75, 85, 7.785620847366403, 8.193205083486871, 0.0037369783810081735
