# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
2.0794415416798357, 2.4870257778003046, 0.0, 0.8204336763261063, 0.0
2.0794415416798357, 2.4870257778003046, 0.8204336763261063, 1.6408673526522126, 0.0
2.0794415416798357, 2.4870257778003046, 1.6408673526522126, 2.461301028978319, 0.0
2.0794415416798357, 2.4870257778003046, 2.461301028978319, 3.2817347053044252, 0.0
2.0794415416798357, 2.4870257778003046, 3.2817347053044252, 4.102168381630531, 0.0
2.0794415416798357, 2.4870257778003046, 4.102168381630531, 4.922602057956638, 0.0
2.0794415416798357, 2.4870257778003046, 4.922602057956638, 5.743035734282744, 0.0
2.0794415416798357, 2.4870257778003046, 5.743035734282744, 6.5634694106088505, 0.0
2.0794415416798357, 2.4870257778003046, 6.5634694106088505, 7.383903086934957, 0.0
2.0794415416798357, 2.4870257778003046, 7.383903086934957, 8.204336763261063, 1.0
2.0794415416798357, 2.4870257778003046, 8.204336763261063, 9.024770439587169, 0.0
2.0794415416798357, 2.4870257778003046, 9.024770439587169, 9.845204115913276, 0.0
2.0794415416798357, 2.4870257778003046, 9.845204115913276, 10.665637792239382, 0.0
2.0794415416798357, 2.4870257778003046, 10.665637792239382, 11.486071468565488, 0.0
2.0794415416798357, 2.4870257778003046, 11.486071468565488, 12.306505144891595, 0.0
2.0794415416798357, 2.4870257778003046, 12.306505144891595, 13.126938821217701, 0.0
2.0794415416798357, 2.4870257778003046, 13.126938821217701, 13.947372497543807, 0.0
2.0794415416798357, 2.4870257778003046, 13.947372497543807, 14.767806173869914, 0.0
2.0794415416798357, 2.4870257778003046, 14.767806173869914, 15.58823985019602, 0.0
2.0794415416798357, 2.4870257778003046, 15.58823985019602, 16.408673526522126, 0.0
2.4870257778003046, 2.894610013920774, 0.0, 0.8204336763261063, 0.0
2.4870257778003046, 2.894610013920774, 0.8204336763261063, 1.6408673526522126, 0.0
2.4870257778003046, 2.894610013920774, 1.6408673526522126, 2.461301028978319, 0.0
2.4870257778003046, 2.894610013920774, 2.461301028978319, 3.2817347053044252, 0.0
2.4870257778003046, 2.894610013920774, 3.2817347053044252, 4.102168381630531, 0.0
2.4870257778003046, 2.894610013920774, 4.102168381630531, 4.922602057956638, 0.0
2.4870257778003046, 2.894610013920774, 4.922602057956638, 5.743035734282744, 0.0
2.4870257778003046, 2.894610013920774, 5.743035734282744, 6.5634694106088505, 0.0
2.4870257778003046, 2.894610013920774, 6.5634694106088505, 7.383903086934957, 0.0
2.4870257778003046, 2.894610013920774, 7.383903086934957, 8.204336763261063, 0.0
2.4870257778003046, 2.894610013920774, 8.204336763261063, 9.024770439587169, 0.0
2.4870257778003046, 2.894610013920774, 9.024770439587169, 9.845204115913276, 0.0
2.4870257778003046, 2.894610013920774, 9.845204115913276, 10.665637792239382, 0.0
2.4870257778003046, 2.894610013920774, 10.665637792239382, 11.486071468565488, 0.0
2.4870257778003046, 2.894610013920774, 11.486071468565488, 12.306505144891595, 0.0
2.4870257778003046, 2.894610013920774, 12.306505144891595, 13.126938821217701, 0.0
2.4870257778003046, 2.894610013920774, 13.126938821217701, 13.947372497543807, 0.0
2.4870257778003046, 2.894610013920774, 13.947372497543807, 14.767806173869914, 0.0
2.4870257778003046, 2.894610013920774, 14.767806173869914, 15.58823985019602, 0.0
2.4870257778003046, 2.894610013920774, 15.58823985019602, 16.408673526522126, 0.0
2.894610013920774, 3.302194250041243, 0.0, 0.8204336763261063, 0.0
2.894610013920774, 3.302194250041243, 0.8204336763261063, 1.6408673526522126, 0.0
2.894610013920774, 3.302194250041243, 1.6408673526522126, 2.461301028978319, 0.0
2.894610013920774, 3.302194250041243, 2.461301028978319, 3.2817347053044252, 0.0
2.894610013920774, 3.302194250041243, 3.2817347053044252, 4.102168381630531, 0.0
2.894610013920774, 3.302194250041243, 4.102168381630531, 4.922602057956638, 0.0
2.894610013920774, 3.302194250041243, 4.922602057956638, 5.743035734282744, 0.0
2.894610013920774, 3.302194250041243, 5.743035734282744, 6.5634694106088505, 0.0
2.894610013920774, 3.302194250041243, 6.5634694106088505, 7.383903086934957, 0.0
2.894610013920774, 3.302194250041243, 7.383903086934957, 8.204336763261063, 0.0
2.894610013920774, 3.302194250041243, 8.204336763261063, 9.024770439587169, 0.0
2.894610013920774, 3.302194250041243, 9.024770439587169, 9.845204115913276, 0.0
2.894610013920774, 3.302194250041243, 9.845204115913276, 10.665637792239382, 0.0
2.894610013920774, 3.302194250041243, 10.665637792239382, 11.486071468565488, 0.0
2.894610013920774, 3.302194250041243, 11.486071468565488, 12.306505144891595, 0.0
2.894610013920774, 3.302194250041243, 12.306505144891595, 13.126938821217701, 0.0
2.894610013920774, 3.302194250041243, 13.126938821217701, 13.947372497543807, 0.0
2.894610013920774, 3.302194250041243, 13.947372497543807, 14.767806173869914, 0.0
2.894610013920774, 3.302194250041243, 14.767806173869914, 15.58823985019602, 0.0
2.894610013920774, 3.302194250041243, 15.58823985019602, 16.408673526522126, 0.0
3.302194250041243, 3.709778486161712, 0.0, 0.8204336763261063, 0.0
3.302194250041243, 3.709778486161712, 0.8204336763261063, 1.6408673526522126, 0.0
3.302194250041243, 3.709778486161712, 1.6408673526522126, 2.461301028978319, 0.0
3.302194250041243, 3.709778486161712, 2.461301028978319, 3.2817347053044252, 0.0
3.302194250041243, 3.709778486161712, 3.2817347053044252, 4.102168381630531, 0.0
3.302194250041243, 3.709778486161712, 4.102168381630531, 4.922602057956638, 0.0
