# Log Net Income (lower edge), Log Net Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
8.364042011922063, 8.520242229232842, 0.0, 0.8204336763261063, 0.0
8.364042011922063, 8.520242229232842, 0.8204336763261063, 1.6408673526522126, 0.0
8.364042011922063, 8.520242229232842, 1.6408673526522126, 2.461301028978319, 0.054635360493759326
8.364042011922063, 8.520242229232842, 2.461301028978319, 3.2817347053044252, 0.0
8.364042011922063, 8.520242229232842, 3.2817347053044252, 4.102168381630531, 0.0
8.364042011922063, 8.520242229232842, 4.102168381630531, 4.922602057956638, 0.062050765855012326
8.364042011922063, 8.520242229232842, 4.922602057956638, 5.743035734282744, 0.028239085924837176
8.364042011922063, 8.520242229232842, 5.743035734282744, 6.5634694106088505, 0.013099596406647667
8.364042011922063, 8.520242229232842, 6.5634694106088505, 7.383903086934957, 0.1381402312401702
8.364042011922063, 8.520242229232842, 7.383903086934957, 8.204336763261063, 0.19217534802848513
8.364042011922063, 8.520242229232842, 8.204336763261063, 9.024770439587169, 0.03206296363175217
8.364042011922063, 8.520242229232842, 9.024770439587169, 9.845204115913276, 0.030981113266126632
8.364042011922063, 8.520242229232842, 9.845204115913276, 10.665637792239382, 0.047918368783845616
8.364042011922063, 8.520242229232842, 10.665637792239382, 11.486071468565488, 0.218833076904859
8.364042011922063, 8.520242229232842, 11.486071468565488, 12.306505144891595, 0.1199525473046934
8.364042011922063, 8.520242229232842, 12.306505144891595, 13.126938821217701, 0.05404572414192409
8.364042011922063, 8.520242229232842, 13.126938821217701, 13.947372497543807, 0.007865818017887317
8.364042011922063, 8.520242229232842, 13.947372497543807, 14.767806173869914, 0.0
8.364042011922063, 8.520242229232842, 14.767806173869914, 15.58823985019602, 0.0
8.364042011922063, 8.520242229232842, 15.58823985019602, 16.408673526522126, 0.0
8.520242229232842, 8.676442446543623, 0.0, 0.8204336763261063, 0.040451320625592715
8.520242229232842, 8.676442446543623, 0.8204336763261063, 1.6408673526522126, 0.0
8.520242229232842, 8.676442446543623, 1.6408673526522126, 2.461301028978319, 0.04562884940482057
8.520242229232842, 8.676442446543623, 2.461301028978319, 3.2817347053044252, 0.0
8.520242229232842, 8.676442446543623, 3.2817347053044252, 4.102168381630531, 0.0
8.520242229232842, 8.676442446543623, 4.102168381630531, 4.922602057956638, 0.017161727674677742
8.520242229232842, 8.676442446543623, 4.922602057956638, 5.743035734282744, 0.021718226995139155
8.520242229232842, 8.676442446543623, 5.743035734282744, 6.5634694106088505, 0.025368925330400093
8.520242229232842, 8.676442446543623, 6.5634694106088505, 7.383903086934957, 0.0973834117082389
8.520242229232842, 8.676442446543623, 7.383903086934957, 8.204336763261063, 0.0
8.520242229232842, 8.676442446543623, 8.204336763261063, 9.024770439587169, 0.1190124905306762
8.520242229232842, 8.676442446543623, 9.024770439587169, 9.845204115913276, 0.123459998522673
8.520242229232842, 8.676442446543623, 9.845204115913276, 10.665637792239382, 0.17067711905655303
8.520242229232842, 8.676442446543623, 10.665637792239382, 11.486071468565488, 0.2199969433857998
8.520242229232842, 8.676442446543623, 11.486071468565488, 12.306505144891595, 0.047433855661260876
8.520242229232842, 8.676442446543623, 12.306505144891595, 13.126938821217701, 0.045982622524267255
8.520242229232842, 8.676442446543623, 13.126938821217701, 13.947372497543807, 0.02572450857990056
8.520242229232842, 8.676442446543623, 13.947372497543807, 14.767806173869914, 0.0
8.520242229232842, 8.676442446543623, 14.767806173869914, 15.58823985019602, 0.0
8.520242229232842, 8.676442446543623, 15.58823985019602, 16.408673526522126, 0.0
8.676442446543623, 8.832642663854402, 0.0, 0.8204336763261063, 0.0
8.676442446543623, 8.832642663854402, 0.8204336763261063, 1.6408673526522126, 0.0
8.676442446543623, 8.832642663854402, 1.6408673526522126, 2.461301028978319, 0.02886959250542576
8.676442446543623, 8.832642663854402, 2.461301028978319, 3.2817347053044252, 0.0
8.676442446543623, 8.832642663854402, 3.2817347053044252, 4.102168381630531, 0.0
8.676442446543623, 8.832642663854402, 4.102168381630531, 4.922602057956638, 0.04284613835151068
8.676442446543623, 8.832642663854402, 4.922602057956638, 5.743035734282744, 0.03069131061562853
8.676442446543623, 8.832642663854402, 5.743035734282744, 6.5634694106088505, 0.062207912743126266
8.676442446543623, 8.832642663854402, 6.5634694106088505, 7.383903086934957, 0.037263082299390515
8.676442446543623, 8.832642663854402, 7.383903086934957, 8.204336763261063, 0.09295552345879599
8.676442446543623, 8.832642663854402, 8.204336763261063, 9.024770439587169, 0.08005188582735524
8.676442446543623, 8.832642663854402, 9.024770439587169, 9.845204115913276, 0.17707100217832278
8.676442446543623, 8.832642663854402, 9.845204115913276, 10.665637792239382, 0.20677348971630038
8.676442446543623, 8.832642663854402, 10.665637792239382, 11.486071468565488, 0.11091726211861308
8.676442446543623, 8.832642663854402, 11.486071468565488, 12.306505144891595, 0.0863153481837993
8.676442446543623, 8.832642663854402, 12.306505144891595, 13.126938821217701, 0.03307968137830849
8.676442446543623, 8.832642663854402, 13.126938821217701, 13.947372497543807, 0.009355874017765326
8.676442446543623, 8.832642663854402, 13.947372497543807, 14.767806173869914, 0.0
8.676442446543623, 8.832642663854402, 14.767806173869914, 15.58823985019602, 0.0016018966056579246
8.676442446543623, 8.832642663854402, 15.58823985019602, 16.408673526522126, 0.0
8.832642663854402, 8.988842881165183, 0.0, 0.8204336763261063, 0.0
8.832642663854402, 8.988842881165183, 0.8204336763261063, 1.6408673526522126, 0.010134396778140223
8.832642663854402, 8.988842881165183, 1.6408673526522126, 2.461301028978319, 0.015033454181258812
