# Log Net Income (lower edge), Log Net Income (upper edge), Log Liq Wealth (lower edge), Log Liq Wealth (upper edge), Probability
8.364042011922063, 8.520242229232842, 0.0, 0.8204336763261063, 0.0
8.364042011922063, 8.520242229232842, 0.8204336763261063, 1.6408673526522126, 0.0
8.364042011922063, 8.520242229232842, 1.6408673526522126, 2.461301028978319, 0.0
8.364042011922063, 8.520242229232842, 2.461301028978319, 3.2817347053044252, 0.054635360493759326
8.364042011922063, 8.520242229232842, 3.2817347053044252, 4.102168381630531, 0.0
8.364042011922063, 8.520242229232842, 4.102168381630531, 4.922602057956638, 0.0
8.364042011922063, 8.520242229232842, 4.922602057956638, 5.743035734282744, 0.052947673592888746
8.364042011922063, 8.520242229232842, 5.743035734282744, 6.5634694106088505, 0.03734217818696076
8.364042011922063, 8.520242229232842, 6.5634694106088505, 7.383903086934957, 0.013099596406647667
8.364042011922063, 8.520242229232842, 7.383903086934957, 8.204336763261063, 0.13024215927387572
8.364042011922063, 8.520242229232842, 8.204336763261063, 9.024770439587169, 0.19217534802848513
8.364042011922063, 8.520242229232842, 9.024770439587169, 9.845204115913276, 0.0078980719662945
8.364042011922063, 8.520242229232842, 9.845204115913276, 10.665637792239382, 0.0630440768978788
8.364042011922063, 8.520242229232842, 10.665637792239382, 11.486071468565488, 0.18772557781553706
8.364042011922063, 8.520242229232842, 11.486071468565488, 12.306505144891595, 0.12910125387481042
8.364042011922063, 8.520242229232842, 12.306505144891595, 13.126938821217701, 0.11524556627160716
8.364042011922063, 8.520242229232842, 13.126938821217701, 13.947372497543807, 0.008677319173367453
8.364042011922063, 8.520242229232842, 13.947372497543807, 14.767806173869914, 0.007865818017887317
8.364042011922063, 8.520242229232842, 14.767806173869914, 15.58823985019602, 0.0
8.364042011922063, 8.520242229232842, 15.58823985019602, 16.408673526522126, 0.0
8.520242229232842, 8.676442446543623, 0.0, 0.8204336763261063, 0.040451320625592715
8.520242229232842, 8.676442446543623, 0.8204336763261063, 1.6408673526522126, 0.0
8.520242229232842, 8.676442446543623, 1.6408673526522126, 2.461301028978319, 0.0
8.520242229232842, 8.676442446543623, 2.461301028978319, 3.2817347053044252, 0.04562884940482057
8.520242229232842, 8.676442446543623, 3.2817347053044252, 4.102168381630531, 0.0
8.520242229232842, 8.676442446543623, 4.102168381630531, 4.922602057956638, 0.0
8.520242229232842, 8.676442446543623, 4.922602057956638, 5.743035734282744, 0.0
8.520242229232842, 8.676442446543623, 5.743035734282744, 6.5634694106088505, 0.021718226995139155
8.520242229232842, 8.676442446543623, 6.5634694106088505, 7.383903086934957, 0.042530653005077836
8.520242229232842, 8.676442446543623, 7.383903086934957, 8.204336763261063, 0.0973834117082389
8.520242229232842, 8.676442446543623, 8.204336763261063, 9.024770439587169, 0.036861352320320534
8.520242229232842, 8.676442446543623, 9.024770439587169, 9.845204115913276, 0.1777134311853627
8.520242229232842, 8.676442446543623, 9.845204115913276, 10.665637792239382, 0.08152504120449407
8.520242229232842, 8.676442446543623, 10.665637792239382, 11.486071468565488, 0.25091836139686735
8.520242229232842, 8.676442446543623, 11.486071468565488, 12.306505144891595, 0.12098467862381256
8.520242229232842, 8.676442446543623, 12.306505144891595, 13.126938821217701, 0.07308725412567134
8.520242229232842, 8.676442446543623, 13.126938821217701, 13.947372497543807, 0.011197419404602244
8.520242229232842, 8.676442446543623, 13.947372497543807, 14.767806173869914, 0.0
8.520242229232842, 8.676442446543623, 14.767806173869914, 15.58823985019602, 0.0
8.520242229232842, 8.676442446543623, 15.58823985019602, 16.408673526522126, 0.0
8.676442446543623, 8.832642663854402, 0.0, 0.8204336763261063, 0.0
8.676442446543623, 8.832642663854402, 0.8204336763261063, 1.6408673526522126, 0.0
8.676442446543623, 8.832642663854402, 1.6408673526522126, 2.461301028978319, 0.0
8.676442446543623, 8.832642663854402, 2.461301028978319, 3.2817347053044252, 0.028869592505425753
8.676442446543623, 8.832642663854402, 3.2817347053044252, 4.102168381630531, 0.0
8.676442446543623, 8.832642663854402, 4.102168381630531, 4.922602057956638, 0.0
8.676442446543623, 8.832642663854402, 4.922602057956638, 5.743035734282744, 0.015162828180009705
8.676442446543623, 8.832642663854402, 5.743035734282744, 6.5634694106088505, 0.04416867369376106
8.676442446543623, 8.832642663854402, 6.5634694106088505, 7.383903086934957, 0.06736052994823716
8.676442446543623, 8.832642663854402, 7.383903086934957, 8.204336763261063, 0.06402586690267957
8.676442446543623, 8.832642663854402, 8.204336763261063, 9.024770439587169, 0.06710650274014986
8.676442446543623, 8.832642663854402, 9.024770439587169, 9.845204115913276, 0.122350344059576
8.676442446543623, 8.832642663854402, 9.845204115913276, 10.665637792239382, 0.15494096229151502
8.676442446543623, 8.832642663854402, 10.665637792239382, 11.486071468565488, 0.2205013972930947
8.676442446543623, 8.832642663854402, 11.486071468565488, 12.306505144891595, 0.12086390629513967
8.676442446543623, 8.832642663854402, 12.306505144891595, 13.126938821217701, 0.06500820475003014
8.676442446543623, 8.832642663854402, 13.126938821217701, 13.947372497543807, 0.02239467433570417
8.676442446543623, 8.832642663854402, 13.947372497543807, 14.767806173869914, 0.005644620399019368
8.676442446543623, 8.832642663854402, 14.767806173869914, 15.58823985019602, 0.0016018966056579244
8.676442446543623, 8.832642663854402, 15.58823985019602, 16.408673526522126, 0.0
8.832642663854402, 8.988842881165183, 0.0, 0.8204336763261063, 0.0
8.832642663854402, 8.988842881165183, 0.8204336763261063, 1.6408673526522126, 0.0
8.832642663854402, 8.988842881165183, 1.6408673526522126, 2.461301028978319, 0.010134396778140223
