# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Liq Wealth (lower edge), Log Liq Wealth (upper edge), Probability
8.364042011922063, 8.520242229232842, 0.0, 0.8204336763261063, 0.0
8.364042011922063, 8.520242229232842, 0.8204336763261063, 1.6408673526522126, 0.0
8.364042011922063, 8.520242229232842, 1.6408673526522126, 2.461301028978319, 0.0
8.364042011922063, 8.520242229232842, 2.461301028978319, 3.2817347053044252, 0.16495910266549688
8.364042011922063, 8.520242229232842, 3.2817347053044252, 4.102168381630531, 0.0
8.364042011922063, 8.520242229232842, 4.102168381630531, 4.922602057956638, 0.0
8.364042011922063, 8.520242229232842, 4.922602057956638, 5.743035734282744, 0.15986351412664712
8.364042011922063, 8.520242229232842, 5.743035734282744, 6.5634694106088505, 0.11274625351835559
8.364042011922063, 8.520242229232842, 6.5634694106088505, 7.383903086934957, 0.0
8.364042011922063, 8.520242229232842, 7.383903086934957, 8.204336763261063, 0.26459059795612794
8.364042011922063, 8.520242229232842, 8.204336763261063, 9.024770439587169, 0.27399409139559383
8.364042011922063, 8.520242229232842, 9.024770439587169, 9.845204115913276, 0.023846440337778593
8.364042011922063, 8.520242229232842, 9.845204115913276, 10.665637792239382, 0.0
8.364042011922063, 8.520242229232842, 10.665637792239382, 11.486071468565488, 0.0
8.364042011922063, 8.520242229232842, 11.486071468565488, 12.306505144891595, 0.0
8.364042011922063, 8.520242229232842, 12.306505144891595, 13.126938821217701, 0.0
8.364042011922063, 8.520242229232842, 13.126938821217701, 13.947372497543807, 0.0
8.364042011922063, 8.520242229232842, 13.947372497543807, 14.767806173869914, 0.0
8.364042011922063, 8.520242229232842, 14.767806173869914, 15.58823985019602, 0.0
8.364042011922063, 8.520242229232842, 15.58823985019602, 16.408673526522126, 0.0
8.520242229232842, 8.676442446543623, 0.0, 0.8204336763261063, 0.0
8.520242229232842, 8.676442446543623, 0.8204336763261063, 1.6408673526522126, 0.0
8.520242229232842, 8.676442446543623, 1.6408673526522126, 2.461301028978319, 0.0
8.520242229232842, 8.676442446543623, 2.461301028978319, 3.2817347053044252, 0.15685087020671337
8.520242229232842, 8.676442446543623, 3.2817347053044252, 4.102168381630531, 0.0
8.520242229232842, 8.676442446543623, 4.102168381630531, 4.922602057956638, 0.0
8.520242229232842, 8.676442446543623, 4.922602057956638, 5.743035734282744, 0.0
8.520242229232842, 8.676442446543623, 5.743035734282744, 6.5634694106088505, 0.07465721463435851
8.520242229232842, 8.676442446543623, 6.5634694106088505, 7.383903086934957, 0.0
8.520242229232842, 8.676442446543623, 7.383903086934957, 8.204336763261063, 0.0
8.520242229232842, 8.676442446543623, 8.204336763261063, 9.024770439587169, 0.2664758744499698
8.520242229232842, 8.676442446543623, 9.024770439587169, 9.845204115913276, 0.4125839333991572
8.520242229232842, 8.676442446543623, 9.845204115913276, 10.665637792239382, 0.020995356462727675
8.520242229232842, 8.676442446543623, 10.665637792239382, 11.486071468565488, 0.02976536777885351
8.520242229232842, 8.676442446543623, 11.486071468565488, 12.306505144891595, 0.00485359277709055
8.520242229232842, 8.676442446543623, 12.306505144891595, 13.126938821217701, 0.03381779029112926
8.520242229232842, 8.676442446543623, 13.126938821217701, 13.947372497543807, 0.0
8.520242229232842, 8.676442446543623, 13.947372497543807, 14.767806173869914, 0.0
8.520242229232842, 8.676442446543623, 14.767806173869914, 15.58823985019602, 0.0
8.520242229232842, 8.676442446543623, 15.58823985019602, 16.408673526522126, 0.0
8.676442446543623, 8.832642663854402, 0.0, 0.8204336763261063, 0.04712396004622488
8.676442446543623, 8.832642663854402, 0.8204336763261063, 1.6408673526522126, 0.0
8.676442446543623, 8.832642663854402, 1.6408673526522126, 2.461301028978319, 0.0
8.676442446543623, 8.832642663854402, 2.461301028978319, 3.2817347053044252, 0.0684902832130962
8.676442446543623, 8.832642663854402, 3.2817347053044252, 4.102168381630531, 0.0
8.676442446543623, 8.832642663854402, 4.102168381630531, 4.922602057956638, 0.0
8.676442446543623, 8.832642663854402, 4.922602057956638, 5.743035734282744, 0.02525339790422982
8.676442446543623, 8.832642663854402, 5.743035734282744, 6.5634694106088505, 0.007914548128246318
8.676442446543623, 8.832642663854402, 6.5634694106088505, 7.383903086934957, 0.030881686131463394
8.676442446543623, 8.832642663854402, 7.383903086934957, 8.204336763261063, 0.10126880809985886
8.676442446543623, 8.832642663854402, 8.204336763261063, 9.024770439587169, 0.010699386602225979
8.676442446543623, 8.832642663854402, 9.024770439587169, 9.845204115913276, 0.10747332487491858
8.676442446543623, 8.832642663854402, 9.845204115913276, 10.665637792239382, 0.07632804279233939
8.676442446543623, 8.832642663854402, 10.665637792239382, 11.486071468565488, 0.18674804135317988
8.676442446543623, 8.832642663854402, 11.486071468565488, 12.306505144891595, 0.2358970279754168
8.676442446543623, 8.832642663854402, 12.306505144891595, 13.126938821217701, 0.10192149287879995
8.676442446543623, 8.832642663854402, 13.126938821217701, 13.947372497543807, 0.0
8.676442446543623, 8.832642663854402, 13.947372497543807, 14.767806173869914, 0.0
8.676442446543623, 8.832642663854402, 14.767806173869914, 15.58823985019602, 0.0
8.676442446543623, 8.832642663854402, 15.58823985019602, 16.408673526522126, 0.0
8.832642663854402, 8.988842881165183, 0.0, 0.8204336763261063, 0.0
8.832642663854402, 8.988842881165183, 0.8204336763261063, 1.6408673526522126, 0.0
8.832642663854402, 8.988842881165183, 1.6408673526522126, 2.461301028978319, 0.0044656062816575345
8.832642663854402, 8.988842881165183, 2.461301028978319, 3.2817347053044252, 0.01885424586506419
