# Age (lower edge), Age (upper edge), Log Net Income (lower edge), Log Net Income (upper edge), Probability
15.0, 25.0, 8.364042011922063, 8.520242229232842, 0.0026455888534377453
15.0, 25.0, 8.520242229232842, 8.676442446543623, 0.03676180055970725
15.0, 25.0, 8.676442446543623, 8.832642663854402, 0.011688282111944498
15.0, 25.0, 8.832642663854402, 8.988842881165183, 0.0
15.0, 25.0, 8.988842881165183, 9.145043098475963, 0.0023738268944045117
15.0, 25.0, 9.145043098475963, 9.301243315786742, 0.057657687676683535
15.0, 25.0, 9.301243315786742, 9.457443533097523, 0.01174256005509188
15.0, 25.0, 9.457443533097523, 9.613643750408302, 0.029462769067077305
15.0, 25.0, 9.613643750408302, 9.769843967719083, 0.13555228808081132
15.0, 25.0, 9.769843967719083, 9.926044185029863, 0.14848783568043425
15.0, 25.0, 9.926044185029863, 10.082244402340642, 0.09253454786697655
15.0, 25.0, 10.082244402340642, 10.238444619651423, 0.19802873823901984
15.0, 25.0, 10.238444619651423, 10.394644836962202, 0.09447358342860246
15.0, 25.0, 10.394644836962202, 10.550845054272983, 0.0689462902016155
15.0, 25.0, 10.550845054272983, 10.707045271583763, 0.05183219071833265
15.0, 25.0, 10.707045271583763, 10.863245488894542, 0.03267812803448708
15.0, 25.0, 10.863245488894542, 11.019445706205323, 0.018244239405808414
15.0, 25.0, 11.019445706205323, 11.175645923516102, 0.0
15.0, 25.0, 11.175645923516102, 11.331846140826883, 0.006889643125565044
15.0, 25.0, 11.331846140826883, 11.488046358137662, 0.0
15.0, 25.0, 11.488046358137662, 11.644246575448442, 0.0
15.0, 25.0, 11.644246575448442, 11.800446792759223, 0.0
15.0, 25.0, 11.800446792759223, 11.956647010070002, 0.0
15.0, 25.0, 11.956647010070002, 12.112847227380783, 0.0
15.0, 25.0, 12.112847227380783, 12.269047444691562, 0.0
25.0, 35.0, 8.364042011922063, 8.520242229232842, 0.0006650290186754734
25.0, 35.0, 8.520242229232842, 8.676442446543623, 0.0008619473214867583
25.0, 35.0, 8.676442446543623, 8.832642663854402, 0.0025932393479223704
25.0, 35.0, 8.832642663854402, 8.988842881165183, 0.004512704078656821
25.0, 35.0, 8.988842881165183, 9.145043098475963, 0.013895234375848555
25.0, 35.0, 9.145043098475963, 9.301243315786742, 0.006604981054237857
25.0, 35.0, 9.301243315786742, 9.457443533097523, 0.027459463226266755
25.0, 35.0, 9.457443533097523, 9.613643750408302, 0.02052094374060712
25.0, 35.0, 9.613643750408302, 9.769843967719083, 0.04572781338809564
25.0, 35.0, 9.769843967719083, 9.926044185029863, 0.06597425356634673
25.0, 35.0, 9.926044185029863, 10.082244402340642, 0.08761063337237644
25.0, 35.0, 10.082244402340642, 10.238444619651423, 0.06575584483947743
25.0, 35.0, 10.238444619651423, 10.394644836962202, 0.0954074564773102
