Model time; nNonBTLHomeless; nBTLHomeless; nHomeless; nRenting; nNonOwner; nNonBTLOwnerOccupier; nBTLOwnerOccupier; nOwnerOccupier; nActiveBTL; nBTL; nNonBTLBankrupt; nBTLBankrupt; TotalPopulation; HousingStock; nEmptyHouses; BTLStockFraction; Sale HPI; Sale AnnualHPA; Sale AvBidPrice; Sale AvOfferPrice; Sale AvSalePrice; Sale AvMonthsOnMarket; Sale nBuyers; Sale nBTLBuyers; Sale nSellers; Sale nNewSellers; Sale nBTLSellers; Sale nSales; Sale nNonBTLBidsAboveExpAvSalePrice; Sale nBTLBidsAboveExpAvSalePrice; Sale nSalesToBTL; Sale nSalesToFTB; Rental HPI; Rental AnnualHPA; Rental AvBidPrice; Rental AvOfferPrice; Rental AvSalePrice; Rental AvMonthsOnMarket; Rental nBuyers; Rental nSellers; Rental nSales; Rental ExpAvFlowYield; nStockMortgages; nNewFTBMortgages; nNewFTBMortgagesToBTL; nNewHMMortgages; nNewBTLMortgages; newFTBCredit; newHMCredit; newBTLCredit; newTotalCredit; creditStock; interestRate
0; 1448; 219; 1667; 1438; 3105; 5566; 684; 6250; 661; 1564; 0; 0; 10016; 8556; 207; 0.1923; 1.0015; 4.9601e-04; 271767.35; 227933.88; 208042.72; 0.0000; 1998; 599; 2390; 2390; 0; 1539; 2679; 549; 385; 1154; 1.0233; 7.7601e-03; 659.38; 672.34; 542.03; 0.0000; 2841; 1645; 1438; 0.0484; 895; 624; 319; 0; 271; 70092222.20; 0.00; 37606268.17; 107698490.37; 107698490.37; 0.035000
1; 1453; 216; 1669; 1406; 3075; 5594; 685; 6279; 664; 1565; 0; 1; 10018; 8556; 207; 0.1885; 1.0005; 6.5416e-04; 42712.17; 262536.06; 154330.69; 0.6935; 508; 218; 894; 43; 0; 62; 816; 274; 5; 47; 1.0387; 2.0667e-02; 661.29; 1515.45; 524.42; 0.0000; 1391; 221; 14; 0.0469; 910; 13; 5; 0; 2; 725286.54; 0.00; 84564.78; 809851.32; 108209080.13; 0.174770
2; 1452; 216; 1668; 1339; 3007; 5667; 684; 6351; 665; 1565; 0; 1; 10023; 8556; 201; 0.1800; 1.0049; 2.2976e-03; 48605.89; 267985.20; 167166.83; 1.6800; 548; 214; 857; 26; 1; 100; 826; 431; 5; 82; 0.9191; -6.2902e-03; 658.87; 1522.02; 602.82; 0.8000; 1350; 216; 15; 0.0454; 981; 65; 1; 2; 5; 6387535.02; 417668.87; 704007.86; 7509211.75; 115007475.92; 0.032864
3; 1451; 216; 1667; 1308; 2975; 5700; 683; 6383; 666; 1565; 0; 1; 10024; 8556; 199; 0.1761; 1.0084; 4.6006e-03; 35632.40; 279124.16; 148425.10; 2.0517; 506; 214; 791; 34; 1; 58; 787; 564; 4; 42; 0.9654; -2.5569e-02; 655.06; 1513.08; 595.78; 0.4615; 1390; 212; 13; 0.0441; 1018; 34; 1; 0; 3; 2376158.42; 0.00; 393368.06; 2769526.47; 117459044.65; 0.041753
4; 1452; 216; 1668; 1254; 2922; 5754; 683; 6437; 666; 1565; 0; 1; 10025; 8556; 199; 0.1698; 1.0150; 9.4285e-03; 44111.07; 285973.54; 160317.88; 3.2278; 531; 214; 758; 28; 1; 79; 777; 669; 6; 60; 0.9501; -5.5122e-02; 651.89; 1467.09; 446.26; 0.2778; 1368; 217; 18; 0.0428; 1075; 53; 3; 2; 6; 4983554.13; 107039.82; 688775.41; 5779369.36; 122529964.23; 0.035465
5; 1453; 214; 1667; 1232; 2899; 5778; 685; 6463; 663; 1562; 0; 1; 10025; 8556; 198; 0.1671; 1.0303; 1.7873e-02; 35486.21; 293732.43; 128328.22; 3.2200; 484; 210; 717; 38; 1; 50; 745; 728; 4; 37; 0.9353; -4.9725e-02; 649.51; 1455.81; 543.17; 1.0000; 1413; 218; 20; 0.0416; 1108; 32; 1; 1; 1; 2410439.33; 133213.52; 63736.25; 2607389.10; 124767837.24; 0.039458
6; 1453; 212; 1665; 1213; 2878; 5799; 687; 6486; 663; 1562; 0; 0; 10027; 8556; 194; 0.1644; 1.0027; 1.5966e-02; 38404.52; 303073.96; 174697.68; 3.8980; 488; 207; 703; 36; 2; 49; 728; 770; 2; 36; 0.9209; -6.4565e-02; 648.07; 1490.15; 566.76; 1.0000; 1400; 206; 12; 0.0405; 1137; 26; 1; 3; 1; 2726093.22; 388400.19; 119250.10; 3233743.51; 127603542.93; 0.035250
7; 1454; 209; 1663; 1195; 2858; 5817; 689; 6506; 664; 1562; 0; 0; 10028; 8556; 191; 0.1620; 1.0100; 1.4324e-02; 31648.81; 308014.57; 153344.75; 3.8696; 478; 206; 684; 31; 1; 46; 719; 798; 2; 29; 0.8853; -8.6160e-02; 646.05; 1471.26; 529.38; 0.6667; 1410; 206; 15; 0.0394; 1161; 24; 5; 2; 1; 2063217.63; 513205.51; 180574.42; 2756997.56; 129816250.51; 0.036080
8; 1447; 208; 1655; 1178; 2833; 5837; 691; 6528; 661; 1560; 0; 0; 10022; 8556; 189; 0.1598; 1.0037; 5.4592e-03; 32209.36; 310528.61; 155441.61; 4.0625; 473; 204; 676; 40; 1; 48; 704; 821; 0; 32; 0.9186; -9.1718e-02; 643.96; 1473.84; 532.84; 0.5714; 1407; 203; 14; 0.0385; 1194; 29; 1; 4; 0; 2839194.02; 195505.52; 0.00; 3034699.54; 132492014.37; 0.035448
9; 1448; 206; 1654; 1173; 2827; 5843; 687; 6530; 665; 1558; 0; 0; 10022; 8556; 188; 0.1591; 0.9709; -5.1206e-03; 27175.22; 317554.97; 173676.63; 5.8696; 458; 201; 657; 29; 1; 23; 696; 841; 2; 15; 0.9411; -8.4985e-02; 643.91; 1483.13; 590.77; 1.3846; 1411; 201; 13; 0.0378; 1208; 12; 4; 3; 1; 922003.39; 468957.81; 409102.27; 1800063.46; 133884492.12; 0.035817
