Model time; nNonBTLHomeless; nBTLHomeless; nHomeless; nRenting; nNonOwner; nNonBTLOwnerOccupier; nBTLOwnerOccupier; nOwnerOccupier; nActiveBTL; nBTL; nNonBTLBankrupt; nBTLBankrupt; TotalPopulation; HousingStock; nEmptyHouses; BTLStockFraction; Sale HPI; Sale AnnualHPA; Sale AvBidPrice; Sale AvOfferPrice; Sale AvSalePrice; Sale AvMonthsOnMarket; Sale nBuyers; Sale nBTLBuyers; Sale nSellers; Sale nNewSellers; Sale nBTLSellers; Sale nSales; Sale nNonBTLBidsAboveExpAvSalePrice; Sale nBTLBidsAboveExpAvSalePrice; Sale nSalesToBTL; Sale nSalesToFTB; Rental HPI; Rental AnnualHPA; Rental AvBidPrice; Rental AvOfferPrice; Rental AvSalePrice; Rental AvMonthsOnMarket; Rental nBuyers; Rental nSellers; Rental nSales; Rental ExpAvFlowYield; nStockMortgages; nNewFTBMortgages; nNewFTBMortgagesToBTL; nNewHMMortgages; nNewBTLMortgages; newFTBCredit; newHMCredit; newBTLCredit; newTotalCredit; creditStock; interestRate
0; 1898; 271; 2169; 1197; 3366; 5357; 677; 6034; 616; 1564; 0; 0; 10016; 8556; 709; 0.2228; 0.9931; -2.3100e-03; 285931.35; 358953.60; 278018.21; 0.0000; 1807; 594; 2402; 2402; 4; 1225; 2420; 500; 332; 893; 1.0195; 6.5064e-03; 627.61; 1055.88; 563.05; 0.0000; 3027; 1906; 1197; 0.0475; 719; 442; 284; 0; 277; 58368100.39; 0.00; 76695084.45; 135063184.85; 135063184.85; 0.035000
1; 1904; 265; 2169; 1157; 3326; 5391; 686; 6077; 616; 1567; 0; 6; 10019; 8556; 706; 0.2177; 1.0042; -9.1504e-04; 40189.00; 438122.11; 176716.59; 0.7846; 629; 265; 1220; 47; 5; 65; 925; 197; 4; 50; 0.9277; -1.7597e-02; 623.39; 1862.33; 596.79; 0.2500; 1816; 718; 12; 0.0452; 729; 8; 5; 0; 2; 602741.59; 0.00; 67321.40; 670062.99; 135479931.74; 0.211107
2; 1909; 260; 2169; 1127; 3296; 5422; 689; 6111; 616; 1565; 0; 6; 10023; 8556; 702; 0.2138; 0.9755; -9.0877e-03; 51015.48; 448933.86; 191221.27; 1.5091; 650; 266; 1193; 40; 6; 55; 983; 306; 7; 43; 0.9690; -2.7941e-02; 619.26; 1850.16; 534.12; 0.5714; 1799; 716; 14; 0.0431; 765; 31; 2; 2; 4; 2400581.00; 137844.79; 502400.28; 3040826.07; 138224593.26; 0.032703
3; 1906; 260; 2166; 1110; 3276; 5443; 689; 6132; 616; 1565; 0; 6; 10024; 8556; 698; 0.2113; 0.9707; -1.6529e-02; 48782.50; 457066.61; 229403.59; 2.3659; 632; 262; 1168; 34; 8; 41; 968; 394; 6; 29; 0.9159; -6.2470e-02; 617.06; 1830.04; 679.84; 1.0000; 1818; 719; 21; 0.0414; 788; 19; 1; 0; 4; 1308359.73; 0.00; 1665206.68; 2973566.41; 140938087.40; 0.035849
4; 1900; 261; 2161; 1112; 3273; 5447; 683; 6130; 620; 1564; 0; 6; 10023; 8556; 694; 0.2111; 0.9560; -3.2580e-02; 37710.76; 460862.05; 190826.46; 2.3333; 601; 256; 1149; 23; 9; 15; 958; 493; 1; 11; 0.8843; -7.6925e-02; 615.87; 1829.65; 672.38; 1.5385; 1831; 707; 13; 0.0397; 794; 6; 1; 0; 1; 694382.48; 0.00; 214873.27; 909255.75; 141496488.09; 0.035760
5; 1900; 257; 2157; 1110; 3267; 5452; 686; 6138; 619; 1562; 0; 6; 10024; 8556; 689; 0.2103; 0.9494; -4.1286e-02; 38745.76; 458865.71; 174868.63; 2.8077; 592; 254; 1165; 34; 10; 26; 952; 557; 2; 17; 0.8876; -1.0405e-01; 614.54; 1817.95; 684.23; 1.7222; 1837; 707; 18; 0.0382; 805; 9; 2; 0; 2; 811676.85; 0.00; 293378.57; 1105055.42; 142337148.87; 0.033021
6; 1900; 253; 2153; 1115; 3268; 5450; 687; 6137; 617; 1557; 0; 6; 10022; 8556; 687; 0.2106; 0.9183; -5.8760e-02; 36685.87; 458928.02; 168446.73; 2.0870; 576; 253; 1185; 46; 12; 23; 956; 615; 2; 13; 0.8759; -1.1738e-01; 613.26; 1808.00; 437.92; 0.4000; 1848; 702; 15; 0.0367; 812; 5; 2; 1; 2; 205806.35; 101539.98; 114801.71; 422148.04; 142488796.32; 0.033280
7; 1908; 248; 2156; 1116; 3272; 5446; 691; 6137; 616; 1555; 0; 6; 10025; 8556; 687; 0.2107; 0.9290; -6.7756e-02; 33402.33; 459356.73; 149960.32; 1.4444; 550; 246; 1195; 33; 14; 18; 958; 667; 0; 11; 0.8536; -1.2762e-01; 612.93; 1818.94; 680.22; 2.6250; 1862; 695; 8; 0.0355; 821; 9; 5; 0; 0; 687364.35; 0.00; 0.00; 687364.35; 142907779.54; 0.032374
8; 1900; 250; 2150; 1118; 3268; 5446; 689; 6135; 617; 1556; 0; 6; 10020; 8556; 686; 0.2108; 0.9365; -7.2054e-02; 32927.43; 457675.36; 150609.36; 2.7500; 552; 246; 1205; 28; 15; 20; 961; 698; 2; 13; 0.8569; -1.3784e-01; 613.34; 1790.93; 545.69; 0.4706; 1863; 703; 17; 0.0344; 829; 8; 3; 0; 1; 478005.01; 0.00; 63902.38; 541907.39; 142954387.49; 0.032726
9; 1908; 249; 2157; 1115; 3272; 5451; 688; 6139; 616; 1553; 0; 5; 10027; 8556; 686; 0.2105; 0.8439; -9.6875e-02; 33667.57; 458545.26; 198517.20; 3.8333; 539; 243; 1217; 33; 18; 18; 944; 715; 2; 13; 0.9260; -1.2116e-01; 612.89; 1801.43; 555.40; 2.5000; 1868; 692; 6; 0.0336; 833; 6; 0; 0; 2; 355143.22; 0.00; 596156.00; 951299.22; 143460573.65; 0.032533
10; 1906; 248; 2154; 1117; 3271; 5448; 688; 6136; 617; 1553; 0; 5; 10024; 8556; 686; 0.2107; 0.8941; -1.0851e-01; 31277.47; 458118.99; 174598.92; 3.7500; 536; 242; 1228; 30; 23; 12; 994; 741; 1; 6; 0.8676; -1.1649e-01; 613.54; 1768.88; 512.08; 1.8750; 1876; 702; 16; 0.0328; 837; 2; 2; 1; 1; 462611.02; 94246.87; 102355.89; 659213.78; 143851804.79; 0.033076
11; 1903; 246; 2149; 1127; 3276; 5440; 688; 6128; 618; 1552; 0; 5; 10022; 8556; 683; 0.2115; 0.8204; -1.4720e-01; 31981.93; 453458.76; 191812.73; 2.9286; 529; 240; 1254; 42; 24; 14; 994; 759; 1; 6; 0.8436; -1.2093e-01; 613.22; 1768.86; 668.46; 3.8462; 1876; 696; 13; 0.0321; 841; 4; 1; 0; 1; 125884.57; 0.00; 283955.07; 409839.64; 143990438.63; 0.032688
12; 1891; 245; 2136; 1147; 3283; 5432; 686; 6118; 620; 1551; 1; 5; 10021; 8556; 671; 0.2125; 0.8542; -1.4177e-01; 27088.47; 451049.71; 173426.40; 1.3333; 508; 240; 1276; 38; 27; 9; 1051; 783; 3; 5; 0.8597; -1.4857e-01; 614.62; 1624.34; 560.72; 1.6239; 1978; 780; 109; 0.0315; 843; 3; 2; 0; 2; 152989.17; 0.00; 239004.75; 391993.93; 143849305.90; 0.032357
13; 1892; 242; 2134; 1151; 3285; 5430; 683; 6113; 625; 1550; 1; 5; 10023; 8556; 667; 0.2125; 0.8220; -1.6704e-01; 26736.75; 447569.64; 126023.64; 3.8000; 503; 236; 1300; 35; 32; 15; 1034; 794; 4; 10; 0.8790; -1.2384e-01; 616.40; 1654.92; 571.06; 0.9398; 1950; 750; 83; 0.0311; 850; 5; 3; 0; 4; 404395.44; 0.00; 191434.59; 595830.02; 144041218.15; 0.032334
14; 1888; 238; 2126; 1164; 3290; 5423; 686; 6109; 624; 1548; 1; 5; 10023; 8556; 659; 0.2131; 0.8264; -1.5815e-01; 25052.26; 444247.19; 125960.76; 2.0000; 491; 234; 1320; 36; 36; 12; 1048; 801; 2; 8; 0.8625; -1.0804e-01; 617.50; 1622.06; 548.00; 1.4118; 1970; 761; 102; 0.0307; 855; 3; 2; 0; 2; 240240.95; 0.00; 151962.85; 392203.80; 144163989.84; 0.032604
15; 1885; 238; 2123; 1174; 3297; 5417; 685; 6102; 626; 1549; 1; 5; 10025; 8556; 654; 0.2137; 0.8321; -1.5929e-01; 24200.47; 441267.79; 147846.64; 0.4286; 484; 232; 1339; 31; 38; 7; 1045; 811; 1; 3; 0.8754; -6.9586e-02; 617.19; 1628.58; 547.10; 1.5625; 1968; 750; 96; 0.0304; 855; 1; 1; 0; 1; 157906.03; 0.00; 67414.21; 225320.24; 144114992.27; 0.032334
16; 1879; 237; 2116; 1186; 3302; 5407; 684; 6091; 628; 1549; 0; 5; 10021; 8556; 651; 0.2147; 0.7911; -1.5600e-01; 25005.09; 437419.53; 116793.92; 3.5556; 489; 232; 1363; 35; 39; 9; 1049; 821; 3; 5; 0.8712; -5.7823e-02; 616.73; 1596.72; 496.32; 1.0935; 1965; 758; 107; 0.0302; 859; 3; 3; 0; 2; 414458.43; 0.00; 65859.12; 480317.55; 144291699.72; 0.032113
17; 1879; 235; 2114; 1194; 3308; 5400; 685; 6085; 628; 1548; 0; 5; 10021; 8556; 649; 0.2154; 0.8031; -1.5641e-01; 24322.50; 434016.02; 190359.24; 3.8333; 474; 226; 1387; 37; 41; 6; 1040; 834; 0; 4; 0.8668; -2.7684e-02; 619.08; 1642.46; 513.89; 1.3973; 1943; 722; 73; 0.0300; 861; 4; 4; 0; 0; 523334.41; 0.00; 0.00; 523334.41; 144511325.92; 0.032451
