profile_id,view,rank,method,samples,percent
core-minimal-10k,whole-run,67,housing.Bank.recalculateInterestRate,1,0.073368
core-minimal-10k,whole-run,68,housing.Bank.requestApproval,1,0.073368
core-minimal-10k,whole-run,69,housing.Demographics.updateDeathProbabilities,1,0.073368
core-minimal-10k,whole-run,70,housing.HouseBidderRecord$PComparator.compare,1,0.073368
core-minimal-10k,whole-run,71,housing.HouseSaleMarket.updateOffer,1,0.073368
core-minimal-10k,whole-run,72,housing.Household.decideToSellHouse,1,0.073368
core-minimal-10k,whole-run,73,housing.Household.endTenancy,1,0.073368
core-minimal-10k,whole-run,74,housing.Household.getEvicted,1,0.073368
core-minimal-10k,whole-run,75,housing.Household.transferAllWealthTo,1,0.073368
core-minimal-10k,whole-run,76,housing.HouseholdBehaviour.decideToBuyInvestmentProperty,1,0.073368
core-minimal-10k,whole-run,77,housing.HouseholdBehaviour.getDesiredRentPrice,1,0.073368
core-minimal-10k,whole-run,78,housing.HousingMarket.clearMarket,1,0.073368
core-minimal-10k,whole-run,79,housing.HousingMarketRecord$PYComparator.XCompare,1,0.073368
core-minimal-10k,whole-run,80,housing.HousingMarketRecord$PYComparator.YCompare,1,0.073368
core-minimal-10k,whole-run,81,housing.HousingMarketRecord.access$0,1,0.073368
core-minimal-10k,whole-run,82,java.io.BufferedWriter.flushBuffer,1,0.073368
core-minimal-10k,whole-run,83,java.lang.AbstractStringBuilder.append,1,0.073368
core-minimal-10k,whole-run,84,java.lang.StringUTF16.getChars,1,0.073368
core-minimal-10k,whole-run,85,java.lang.invoke.InvokerBytecodeGenerator$4$1.<init>,1,0.073368
core-minimal-10k,whole-run,86,java.nio.Buffer.flip,1,0.073368
core-minimal-10k,whole-run,87,java.util.ArrayList.addAll,1,0.073368
core-minimal-10k,whole-run,88,java.util.Formatter$FormatSpecifier.print,1,0.073368
core-minimal-10k,whole-run,89,java.util.Objects.requireNonNull,1,0.073368
core-minimal-10k,whole-run,90,java.util.TimSort.mergeAt,1,0.073368
core-minimal-10k,whole-run,91,java.util.TreeMap.compare,1,0.073368
core-minimal-10k,whole-run,92,jdk.internal.math.FormattedFPDecimal.expChars,1,0.073368
core-minimal-10k,whole-run,93,jdk.internal.util.DecimalDigits.uncheckedGetCharsLatin1,1,0.073368
core-minimal-10k,whole-run,94,org.apache.commons.math3.distribution.AbstractIntegerDistribution.solveInverseCumulativeProbability,1,0.073368
core-minimal-10k,whole-run,95,org.apache.commons.math3.util.FastMath.expm1,1,0.073368
core-minimal-10k,whole-run,96,utilities.PriorityQueue2D$Iter.hasNext,1,0.073368
core-minimal-10k,whole-run,97,utilities.PriorityQueue2D$XComparatorClass.compare,1,0.073368
core-minimal-10k,modelStep-only,1,housing.Household.getAnnualFinanceCosts,120,8.856089
core-minimal-10k,modelStep-only,2,java.util.TreeMap.getFirstEntry,108,7.970480
core-minimal-10k,modelStep-only,3,java.util.TreeMap.successor,71,5.239852
core-minimal-10k,modelStep-only,4,housing.HousingMarketRecord$PQComparator.XCompare,68,5.018450
core-minimal-10k,modelStep-only,5,org.apache.commons.math3.util.FastMath.log,63,4.649446
core-minimal-10k,modelStep-only,6,housing.HouseholdBehaviour.updateDesiredPurchasePrice,58,4.280443
core-minimal-10k,modelStep-only,7,java.util.TreeMap.getFloorEntry,58,4.280443
core-minimal-10k,modelStep-only,8,java.util.TreeMap.getEntryUsingComparator,54,3.985240
core-minimal-10k,modelStep-only,9,housing.Household.step,53,3.911439
core-minimal-10k,modelStep-only,10,housing.HousingMarket.matchBidsWithOffers,49,3.616236
core-minimal-10k,modelStep-only,11,java.util.TreeMap.put,49,3.616236
core-minimal-10k,modelStep-only,12,collectors.HouseholdStats.record,40,2.952030
core-minimal-10k,modelStep-only,13,housing.HousingMarket.clearMatches,37,2.730627
core-minimal-10k,modelStep-only,14,housing.Household.getNProperties,32,2.361624
core-minimal-10k,modelStep-only,15,org.apache.commons.math3.random.BitsStreamGenerator.nextGaussian,29,2.140221
core-minimal-10k,modelStep-only,16,java.util.Arrays.copyOf,25,1.845018
core-minimal-10k,modelStep-only,17,org.apache.commons.math3.util.FastMath.pow,25,1.845018
core-minimal-10k,modelStep-only,18,collectors.HousingMarketStats.preClearingRecord,22,1.623616
core-minimal-10k,modelStep-only,19,housing.Household.getMonthlyGrossRentalIncome,22,1.623616
