# Age (lower edge), Age (upper edge), Probability
15.0, 25.0, 0.0011638615266465614
25.0, 35.0, 0.013073470898952111
35.0, 45.0, 0.016815150042606718
45.0, 55.0, 0.019818565473636196
55.0, 65.0, 0.019117651420145244
65.0, 75.0, 0.015578524717054778
75.0, 95.0, 0.007216387960479198
