Model time; nNonBTLHomeless; nBTLHomeless; nHomeless; nRenting; nNonOwner; nNonBTLOwnerOccupier; nBTLOwnerOccupier; nOwnerOccupier; nActiveBTL; nBTL; nNonBTLBankrupt; nBTLBankrupt; TotalPopulation; HousingStock; nEmptyHouses; BTLStockFraction; Sale HPI; Sale AnnualHPA; Sale AvBidPrice; Sale AvOfferPrice; Sale AvSalePrice; Sale AvMonthsOnMarket; Sale nBuyers; Sale nBTLBuyers; Sale nSellers; Sale nNewSellers; Sale nBTLSellers; Sale nSales; Sale nNonBTLBidsAboveExpAvSalePrice; Sale nBTLBidsAboveExpAvSalePrice; Sale nSalesToBTL; Sale nSalesToFTB; Rental HPI; Rental AnnualHPA; Rental AvBidPrice; Rental AvOfferPrice; Rental AvSalePrice; Rental AvMonthsOnMarket; Rental nBuyers; Rental nSellers; Rental nSales; Rental ExpAvFlowYield; nStockMortgages; nNewFTBMortgages; nNewFTBMortgagesToBTL; nNewHMMortgages; nNewBTLMortgages; newFTBCredit; newHMCredit; newBTLCredit; newTotalCredit; creditStock; interestRate
0; 1415; 253; 1668; 1493; 3161; 5529; 659; 6188; 650; 1562; 0; 0; 9999; 8555; 224; 0.2007; 1.0011; 3.5446e-04; 277402.96; 231240.93; 206499.68; 0.0000; 1938; 549; 2374; 2374; 3; 1455; 2651; 547; 343; 1112; 1.0209; 6.9673e-03; 657.54; 690.16; 547.87; 0.0000; 2873; 1717; 1493; 0.0483; 842; 587; 299; 0; 255; 66010285.38; 0.00; 37991440.86; 104001726.24; 104001726.24; 0.035000
1; 1422; 250; 1672; 1472; 3144; 5549; 663; 6212; 649; 1562; 0; 0; 10005; 8556; 223; 0.1981; 0.9934; -1.8617e-03; 26650.88; 268926.20; 133692.96; 0.7111; 513; 210; 949; 31; 0; 45; 781; 291; 5; 35; 1.0453; 2.2082e-02; 658.18; 1570.75; 630.17; 0.1765; 1383; 240; 17; 0.0469; 848; 7; 3; 0; 1; 180714.93; 0.00; 17625.25; 198340.18; 103819707.23; 0.170091
2; 1423; 247; 1670; 1400; 3070; 5624; 664; 6288; 648; 1559; 0; 0; 10006; 8556; 220; 0.1893; 0.9768; -9.5978e-03; 88891.57; 273032.79; 176322.33; 1.5804; 582; 217; 940; 38; 0; 112; 779; 443; 12; 90; 0.9332; -1.9417e-04; 654.41; 1583.22; 800.26; 0.5625; 1317; 236; 16; 0.0455; 927; 72; 0; 3; 6; 7013645.13; 202753.36; 972894.99; 8189293.47; 111596807.08; 0.032101
3; 1423; 245; 1668; 1374; 3042; 5651; 666; 6317; 648; 1559; 0; 0; 10007; 8556; 217; 0.1860; 0.9603; -2.3193e-02; 35399.54; 283067.25; 152273.43; 2.1321; 525; 213; 861; 34; 2; 53; 733; 570; 4; 36; 0.9630; -1.9507e-02; 652.30; 1588.01; 772.03; 0.8571; 1371; 231; 14; 0.0443; 957; 25; 3; 1; 4; 1957607.54; 28343.00; 369781.30; 2355731.85; 113628628.36; 0.042723
4; 1422; 242; 1664; 1359; 3023; 5662; 671; 6333; 649; 1562; 0; 0; 10005; 8556; 215; 0.1840; 0.9974; -2.1836e-02; 33333.96; 287514.23; 160963.15; 2.5116; 505; 204; 836; 31; 3; 43; 725; 664; 2; 31; 0.9748; -4.3036e-02; 648.70; 1568.20; 684.14; 0.7500; 1381; 231; 16; 0.0431; 987; 27; 6; 2; 2; 2505692.50; 156599.23; 238000.52; 2900292.25; 116137403.73; 0.034969
5; 1422; 239; 1661; 1346; 3007; 5674; 670; 6344; 653; 1562; 0; 0; 10004; 8556; 213; 0.1822; 0.9752; -2.2364e-02; 30353.81; 293856.36; 162501.96; 3.0000; 498; 211; 821; 32; 6; 37; 702; 729; 4; 16; 0.9185; -4.7925e-02; 646.30; 1562.51; 559.78; 0.8667; 1389; 228; 15; 0.0420; 1007; 15; 2; 3; 3; 1000485.33; 272115.52; 317019.93; 1589620.78; 117390791.14; 0.035693
6; 1424; 238; 1662; 1343; 3005; 5673; 672; 6345; 655; 1565; 0; 0; 10005; 8556; 213; 0.1819; 0.9710; -1.8780e-02; 47288.98; 296466.76; 160121.75; 2.8824; 494; 207; 818; 34; 8; 34; 694; 762; 5; 22; 0.8915; -7.1753e-02; 646.58; 1572.06; 553.43; 0.5000; 1384; 225; 12; 0.0409; 1027; 18; 5; 1; 2; 1165827.38; 107827.47; 37597.60; 1311252.44; 118268973.03; 0.033951
7; 1419; 238; 1657; 1330; 2987; 5691; 673; 6364; 655; 1566; 1; 0; 10006; 8556; 207; 0.1796; 0.9671; -2.8887e-02; 36367.65; 299849.24; 190190.44; 4.8571; 506; 207; 806; 24; 8; 35; 703; 794; 2; 18; 0.9525; -7.9175e-02; 648.69; 1556.68; 638.56; 1.4375; 1379; 223; 16; 0.0401; 1048; 15; 1; 6; 1; 1167213.54; 613527.71; 74663.75; 1855405.00; 119560579.52; 0.033581
8; 1422; 235; 1657; 1330; 2987; 5686; 677; 6363; 656; 1568; 1; 0; 10006; 8556; 207; 0.1796; 0.8925; -5.6469e-02; 26019.37; 296863.24; 119313.92; 2.2609; 471; 202; 810; 39; 7; 23; 686; 818; 1; 13; 0.9974; -5.2879e-02; 646.14; 1558.82; 533.47; 0.0000; 1400; 218; 11; 0.0396; 1057; 9; 5; 0; 0; 870326.42; 0.00; 0.00; 870326.42; 120083369.84; 0.034304
9; 1425; 232; 1657; 1325; 2982; 5691; 676; 6367; 658; 1566; 1; 0; 10007; 8556; 206; 0.1789; 0.9413; -6.6379e-02; 30907.77; 295527.49; 142454.28; 3.4444; 491; 205; 823; 36; 7; 36; 702; 854; 4; 19; 0.8852; -5.4962e-02; 646.38; 1560.64; 564.87; 1.0000; 1380; 215; 9; 0.0389; 1072; 14; 3; 0; 3; 937868.64; 0.00; 300148.46; 1238017.10; 120943773.40; 0.032995
