# National insurance contributions bands and rates for the tax year 2025-2026 (assuming annual bands = 52 * weekly bands)
# Document available at https://www.gov.uk/government/statistics/main-features-of-national-insurance-contributions
# National Insurance bands, National Insurance rates
12584, 0.12
50284, 0.02
